,1,52,825,1027,1839,2010,3408,4172,4687,5426,other_total_market_cap,global
2020-07-27,182723132542.22467,9636371086.07703,9983560492.098413,34725714215.17782,2814416221.0677605,3835779758.647189,1159679924.916705,160753314.81824377,171426127.41068435,26972566.434103377,54614505473.50738,299852311722.38
2020-08-03,203682874498.5348,12866565152.5422,10003179182.761648,41508331002.04207,3016217289.8578806,3457183941.4805813,1088450823.3196054,126610592.18726535,161770887.3289439,29855876.919951536,57941016472.96606,333882055719.941
2020-08-10,215677731899.91626,12947140791.824669,10025687682.815376,43908080747.18144,3243148538.191585,3778021219.611229,1145077546.928327,168026917.1331905,180346320.3680166,45944480.84319286,66178498845.962715,357297704990.776
2020-08-17,219791862272.7593,13701013442.37611,10009356545.160238,48791927826.49658,3397572797.045507,3596239662.218054,1198182224.5543926,231564989.56239027,188734324.19474727,98822143.84713879,75529819265.97655,376535095494.191
2020-08-24,215332195088.36835,12804788553.733713,10028091607.654966,43890316482.32946,3154315654.1538672,3154824025.665843,1350448637.1510494,186367223.12576044,213538787.91709328,103101374.86027353,73301573768.87163,363519561203.832
2020-08-31,216333519498.11148,12750357699.561235,10010888224.336838,48211664393.12497,3419052341.30767,3049711176.409598,1468519984.6422997,205017589.8092869,187384160.60215157,143466790.03974968,77981222838.02373,373760804695.969
2020-09-07,189960683045.26556,10847319383.37107,14152059118.094784,39794578365.00375,3345759293.2314496,2412503158.568688,1728444795.9176295,131843324.93885827,198169605.73360792,103760929.38362868,67821668139.530975,330496789159.04
2020-09-14,190982313860.37103,10872128928.635708,14731562878.074251,41146100470.64105,4440809486.769814,2455119628.185383,1995627521.2365417,119406129.92408867,308417103.0784352,113119113.32160032,69842211396.1951,337006816516.433
2020-09-21,202246809733.18948,11090040691.677708,15256423792.855679,41729572795.25138,3763378480.5507617,2781853450.1433854,2323216140.4944134,119789282.33924,404368278.008148,107230433.40879403,67210534640.447014,347033217718.366
2020-09-28,199423455711.22543,10979587373.705374,15359251634.37276,40378371636.637024,3793227829.658816,3151964402.41976,2533120592.3025217,120761365.22394237,465866296.098294,123576299.63215646,67922649599.46792,344251832740.744
2020-10-05,197611846878.1983,11209850277.730774,15595668496.521233,39805525511.67937,4189171354.744935,2999505616.3928766,2639953272.321319,116617503.13482797,555743939.192526,104387205.91937996,64706205369.74746,339534475425.583
2020-10-12,210888960518.6466,11547266512.716812,15733768011.201803,42326523073.81086,4122718976.8618183,3313075820.7166796,2857247146.819879,124200244.09730372,672814181.570688,102924143.10124712,69010184909.41658,360699683538.96027
2020-10-19,212945049781.73172,10964003648.561342,15829212659.80041,42794912023.967926,4424569729.976981,3342090813.878668,2728230099.236387,121224479.83625421,809748540.786724,96337647.47998267,67071492505.44434,361126871930.70074
2020-10-26,241308512141.24832,11456399734.26149,16285261122.010347,45917606085.9449,4340535469.1984625,3307530412.4086843,2808525116.1073394,119193908.93224075,756279048.14,80214101.15343434,68640718469.18462,395020775608.58984
2020-11-02,255305349076.21912,10894672498.353416,16661986501.624155,45039871160.09848,4123846774.67436,3068570981.9864078,2928661401.2167244,115949224.73383686,709636760.2768949,73543025.65413186,62902419768.36008,401824507173.1976
2020-11-09,287283652683.2034,11532749382.18253,17210765619.470444,51507421226.56278,4115914721.988238,3323510963.383936,2874229912.6072636,117026274.61050467,635157001.4976449,99251735.23792161,67547192973.751366,446246872494.49603
2020-11-16,295393474293.0917,12180298527.248411,17877775624.938194,50682338163.443695,3980272471.7742987,3108699586.941668,2813433524.6595087,118668056.13637368,656572957.69,92823830.70542109,68736405306.14493,455640762342.7742
2020-11-23,341281755223.37067,20379900607.07643,18454362333.68867,63865456389.919495,4342112854.634714,4592628496.368529,2874025497.6794996,133820266.92675059,654969944.961527,99579570.29287551,78030146074.00784,534708757258.927
2020-11-30,338101650909.59454,27633907412.622707,19126341211.48706,65884676076.80504,4359832834.1422205,5211190886.839006,2964756104.8500433,146127589.20882648,682134768.4661809,88568649.77332121,80390133907.29045,544589320351.0794
2020-12-07,360337440869.6686,28235628279.060463,19684183227.731686,68554455904.372734,4262879063.8313046,4943859130.4313965,3073922911.132373,192381603.99859282,703390619.40345,85759024.10031193,83764855119.61868,573838755753.3496
