기준분기,연령대,성별구분,소득추정등급,"신용관리대상등록총금액<미적용, 금액, 십만원>","신용관리대상등록총금액<미적용, 등록자수, 명>"
2010Q3,30대,여자,14,130575,1100
2010Q3,30대,여자,15,8897,95
2010Q3,40대,남자,00,1029824,1998
2010Q3,40대,남자,01,328345,81
2010Q3,40대,남자,02,119089,41
2010Q3,40대,남자,03,377411,109
2010Q3,40대,남자,04,134065,59
2010Q3,40대,남자,05,310099,137
2010Q3,40대,남자,06,619878,382
2010Q3,40대,남자,07,3151831,1121
2010Q3,40대,남자,08,1708821,2373
2010Q3,40대,남자,09,813081,2180
2010Q3,40대,남자,10,741724,1190
2010Q3,40대,남자,11,112201,776
2010Q3,40대,남자,12,5005,32
2010Q3,40대,남자,13,5360,30
2010Q3,40대,남자,14,11521,38
2010Q3,40대,남자,15,18608,24
2010Q3,40대,여자,00,294441,1288
2010Q3,40대,여자,01,57064,37
2010Q3,40대,여자,02,42341,20
2010Q3,40대,여자,03,26896,24
2010Q3,40대,여자,04,28904,21
2010Q3,40대,여자,05,41821,40
2010Q3,40대,여자,06,86716,56
2010Q3,40대,여자,07,110212,104
2010Q3,40대,여자,08,270734,304
2010Q3,40대,여자,09,513518,955
2010Q3,40대,여자,10,658528,1583
2010Q3,40대,여자,11,293040,874
2010Q3,40대,여자,12,137769,799
2010Q3,40대,여자,13,18824,112
2010Q3,40대,여자,14,12327,51
2010Q3,40대,여자,15,9714,38
2010Q3,50대,남자,00,1897706,1051
2010Q3,50대,남자,01,404479,41
2010Q3,50대,남자,02,44733,31
2010Q3,50대,남자,03,232666,61
2010Q3,50대,남자,04,178065,61
2010Q3,50대,남자,05,202591,121
2010Q3,50대,남자,06,623255,369
2010Q3,50대,남자,07,1321512,808
2010Q3,50대,남자,08,2724522,1608
2010Q3,50대,남자,09,772157,1113
2010Q3,50대,남자,10,2270142,902
2010Q3,50대,남자,11,118116,374
2010Q3,50대,남자,12,3781,7
2010Q3,50대,남자,13,9731,17
2010Q3,50대,남자,14,6206,21
2010Q3,50대,남자,15,10132,16
2010Q3,50대,여자,00,295018,840
2010Q3,50대,여자,01,26960,19
2010Q3,50대,여자,02,13616,8
2010Q3,50대,여자,03,20664,28
2010Q3,50대,여자,04,17811,19
2010Q3,50대,여자,05,58265,24
2010Q3,50대,여자,06,57202,27
2010Q3,50대,여자,07,133857,78
2010Q3,50대,여자,08,249696,306
2010Q3,50대,여자,09,703436,735
2010Q3,50대,여자,10,448392,1223
2010Q3,50대,여자,11,193893,424
2010Q3,50대,여자,12,119452,476
2010Q3,50대,여자,13,10635,22
2010Q3,50대,여자,14,2094,19
2010Q3,50대,여자,15,5974,16
2010Q3,60대,남자,00,211938,275
2010Q3,60대,남자,01,31647,5
2010Q3,60대,남자,02,116,1
2010Q3,60대,남자,03,24512,9
2010Q3,60대,남자,04,17959,6
2010Q3,60대,남자,05,44740,12
2010Q3,60대,남자,06,148823,57
2010Q3,60대,남자,07,441757,138
2010Q3,60대,남자,08,379447,278
2010Q3,60대,남자,09,311640,405
2010Q3,60대,남자,10,1604309,405
2010Q3,60대,남자,11,259070,163
2010Q3,60대,남자,12,38615,107
2010Q3,60대,남자,13,402,1
2010Q3,60대,남자,14,16,1
2010Q3,60대,남자,15,1184,3
2010Q3,60대,여자,00,76434,269
2010Q3,60대,여자,01,0,0
2010Q3,60대,여자,02,723,1
2010Q3,60대,여자,03,958,2
2010Q3,60대,여자,04,5662,4
2010Q3,60대,여자,05,4259,7
2010Q3,60대,여자,06,26586,3
2010Q3,60대,여자,07,9137,7
2010Q3,60대,여자,08,74720,36
2010Q3,60대,여자,09,392078,88
